Sample	SampleNum	GenoType	Clone	Stage	Chip	Replicate	Run	Label	Group	Index
H1D0K9	2	WT	H1	D0	K9	1	PP	PP_K9_H1_D0	K9_H1_D0	1
H1DEK9	4	WT	H1	DE	K9	1	PP	PP_K9_H1_DE	K9_H1_DE	2
H1S2K9	6	WT	H1	S2	K9	1	PP	PP_K9_H1_S2	K9_H1_S2	3
H1S3K9	8	WT	H1	S3	K9	1	PP	PP_K9_H1_S3	K9_H1_S3	4
H1S4K9	10	WT	H1	S4	K9	1	PP	PP_K9_H1_S4	K9_H1_S4	5
H1S5K9	12	WT	H1	S5	K9	1	PP	PP_K9_H1_S5	K9_H1_S5	6
H1S6K9	14	WT	H1	S6	K9	1	PP	PP_K9_H1_S6	K9_H1_S6	7
H1S7K9	16	WT	H1	S7	K9	1	PP	PP_K9_H1_S7	K9_H1_S7	8
4CD0K9	18	KO	4C	D0	K9	1	PP	PP_K9_4C_D0	K9_4C_D0	9
4CDEK9	20	KO	4C	DE	K9	1	PP	PP_K9_4C_DE	K9_4C_DE	10
4CS2K9	22	KO	4C	S2	K9	1	PP	PP_K9_4C_S2	K9_4C_S2	11
4CS3K9	24	KO	4C	S3	K9	1	PP	PP_K9_4C_S3	K9_4C_S3	12
4CS4K9	26	KO	4C	S4	K9	1	PP	PP_K9_4C_S4	K9_4C_S4	13
4CS5K9	28	KO	4C	S5	K9	1	PP	PP_K9_4C_S5	K9_4C_S5	14
4CS6K9	30	KO	4C	S6	K9	1	PP	PP_K9_4C_S6	K9_4C_S6	15
4CS7K9	32	KO	4C	S7	K9	1	PP	PP_K9_4C_S7	K9_4C_S7	16
H1D0K27	1	WT	H1	D0	K27	1	PP	PP_K27_H1_D0	K27_H1_D0	17
H1DEK27	3	WT	H1	DE	K27	1	PP	PP_K27_H1_DE	K27_H1_DE	18
H1S2K27	5	WT	H1	S2	K27	1	PP	PP_K27_H1_S2	K27_H1_S2	19
H1S3K27	7	WT	H1	S3	K27	1	PP	PP_K27_H1_S3	K27_H1_S3	20
H1S4K27	9	WT	H1	S4	K27	1	PP	PP_K27_H1_S4	K27_H1_S4	21
H1S5K27	11	WT	H1	S5	K27	1	PP	PP_K27_H1_S5	K27_H1_S5	22
H1S6K27	13	WT	H1	S6	K27	1	PP	PP_K27_H1_S6	K27_H1_S6	23
H1S7K27	15	WT	H1	S7	K27	1	PP	PP_K27_H1_S7	K27_H1_S7	24
4CD0K27	17	KO	4C	D0	K27	1	PP	PP_K27_4C_D0	K27_4C_D0	25
4CDEK27	19	KO	4C	DE	K27	1	PP	PP_K27_4C_DE	K27_4C_DE	26
4CS2K27	21	KO	4C	S2	K27	1	PP	PP_K27_4C_S2	K27_4C_S2	27
4CS3K27	23	KO	4C	S3	K27	1	PP	PP_K27_4C_S3	K27_4C_S3	28
4CS4K27	25	KO	4C	S4	K27	1	PP	PP_K27_4C_S4	K27_4C_S4	29
4CS5K27	27	KO	4C	S5	K27	1	PP	PP_K27_4C_S5	K27_4C_S5	30
4CS6K27	29	KO	4C	S6	K27	1	PP	PP_K27_4C_S6	K27_4C_S6	31
4CS7K27	31	KO	4C	S7	K27	1	PP	PP_K27_4C_S7	K27_4C_S7	32
iPSCD0K9	34	iPSC	iPSC	D0	K9	1	iPSC	iPSC_K9_iPSC_D0	K9_iPSC_D0	33
iPSCDEK9	36	iPSC	iPSC	DE	K9	1	iPSC	iPSC_K9_iPSC_DE	K9_iPSC_DE	34
iPSCS2K9	38	iPSC	iPSC	S2	K9	1	iPSC	iPSC_K9_iPSC_S2	K9_iPSC_S2	35
iPSCS3K9	40	iPSC	iPSC	S3	K9	1	iPSC	iPSC_K9_iPSC_S3	K9_iPSC_S3	36
iPSCD0K27	33	iPSC	iPSC	D0	K27	1	iPSC	iPSC_K27_iPSC_D0	K27_iPSC_D0	37
iPSCDEK27	35	iPSC	iPSC	DE	K27	1	iPSC	iPSC_K27_iPSC_DE	K27_iPSC_DE	38
iPSCS2K27	37	iPSC	iPSC	S2	K27	1	iPSC	iPSC_K27_iPSC_S2	K27_iPSC_S2	39
iPSCS3K27	39	iPSC	iPSC	S3	K27	1	iPSC	iPSC_K27_iPSC_S3	K27_iPSC_S3	30
