Sample	SampleNum	ExpNum	GenoType	Clone	Stage	Replicate	Run	Label	Group	Index	FKO
R1	1	E38	WT	H1	D0	1	R4	R4_H1_D0_1	WT_D0	88	0
R2	2	E38	KO	4C	D0	1	R4	R4_4C_D0_1	KO_D0	89	1
R3	3	E38	WT	H1	DE	1	R4	R4_H1_DE_1	WT_DE	90	0
R4	4	E38	KO	4C	DE	1	R4	R4_4C_DE_1	KO_DE	91	1
R5	5	E38	WT	H1	S2	1	R4	R4_H1_S2_1	WT_S2	92	0
R6	6	E38	KO	4C	S2	1	R4	R4_4C_S2_1	KO_S2	93	1
R7	7	E38	WT	H1	S3	1	R4	R4_H1_S3_1	WT_S3	94	0
R8	8	E38	KO	4C	S3	1	R4	R4_4C_S3_1	KO_S3	95	1
R9	9	E38	WT	H1	S4	1	R4	R4_H1_S4_1	WT_S4	96	0
R10	10	E38	KO	4C	S4	1	R4	R4_4C_S4_1	KO_S4	97	1
R15	15	E39	WT	H1	D0	2	R4	R4_H1_D0_2	WT_D0	102	0
R16	16	E39	KO	4C	D0	2	R4	R4_4C_D0_2	KO_D0	103	1
R17	17	E39	WT	H1	DE	2	R4	R4_H1_DE_2	WT_DE	104	0
R18	18	E39	KO	4C	DE	2	R4	R4_4C_DE_2	KO_DE	105	1
R19	19	E39	WT	H1	S2	2	R4	R4_H1_S2_2	WT_S2	106	0
R20	20	E39	KO	4C	S2	2	R4	R4_4C_S2_2	KO_S2	107	1
R21	21	E39	WT	H1	S3	2	R4	R4_H1_S3_2	WT_S3	108	0
R22	22	E39	KO	4C	S3	2	R4	R4_4C_S3_2	KO_S3	109	1
R23	23	E39	WT	H1	S4	2	R4	R4_H1_S4_2	WT_S4	110	0
R24	24	E39	KO	4C	S4	2	R4	R4_4C_S4_2	KO_S4	111	1
R29	29	E44	WT	H1	D0	3	R4	R4_H1_D0_3	WT_D0	116	0
R30	30	E44	KO	4C	D0	3	R4	R4_4C_D0_3	KO_D0	117	1
R31	31	E44	WT	H1	DE	3	R4	R4_H1_DE_3	WT_DE	118	0
R32	32	E44	KO	4C	DE	3	R4	R4_4C_DE_3	KO_DE	119	1
R33	33	E44	WT	H1	S2	3	R4	R4_H1_S2_3	WT_S2	120	0
R34	34	E44	KO	4C	S2	3	R4	R4_4C_S2_3	KO_S2	121	1
R35	35	E44	WT	H1	S3	3	R4	R4_H1_S3_3	WT_S3	122	0
R36	36	E44	KO	4C	S3	3	R4	R4_4C_S3_3	KO_S3	123	1
R37	37	E44	WT	H1	S4	3	R4	R4_H1_S4_3	WT_S4	124	0
R38	38	E44	KO	4C	S4	3	R4	R4_4C_S4_3	KO_S4	125	1
